titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
Tremors 4: The Legend Begins,Kirsteni Groneway,2003,84,Human Resources,97,JP,Ibara
Charlie Chan in Paris,Blinni Bocock,2005,97,Services,97,PL,Poniatowa
Pups,Sigismondo Magson,2008,6,Training,67,BR,S?o Lu?s do Quitunde
"Independent, The",Janel Alford,2004,8,Business Development,21,ID,Lamalera
"Jackal, The",Meghann Filippo,1994,52,Engineering,47,CN,Nehe
"Map For Saturday, A",Chuck Ciciari,1995,43,Support,100,ID,Curug
Don't Make Waves,Dionis Harrow,2003,90,Services,23,MY,Kangar
"Egg and I, The",Patty McGurn,2004,18,Support,95,SI,Idrija
Pixote,Adella Stanesby,2000,100,Business Development,20,VN,Nam S?ch
Thank You a Lot,Humfrid Eouzan,2004,23,Product Management,65,ID,Ciseuseupan
That Certain Woman,Perren Kiley,2009,17,Sales,99,PL,Dziadkowice
Marriage Material,Eunice Anglish,2010,54,Business Development,58,TJ,Kolkhozobod
When Nietzsche Wept,Conchita Rolance,1995,32,Services,5,CN,Shifan
Showtime,Sonnie Ehrat,2007,39,Engineering,35,EE,Narva
"Belly of an Architect, The",Rania Ortell,1964,68,Business Development,52,PH,Cagdianao
"Farewell, My Queen (Les adieux ? la reine)",Lesly Burke,1992,65,Training,92,CN,Sanli
Overnight Delivery,Tallou Hoff,2010,42,Services,25,RU,Murmino
"Bannen Way, The",Abra Faveryear,2001,45,Engineering,99,CN,Hou?an
Rage,Lucian Nuccii,1996,47,Services,89,FR,Amiens
Surviving the Game,Arnaldo Wardesworth,2013,86,Accounting,5,CZ,Rychvald
Tin Man,Leonore Mucklow,2006,56,Product Management,89,PH,Sillon
Naked Lunch,Marlene Rosini,2006,42,Human Resources,25,JP,Gose
Unmade Beds,Krystyna Wilshere,2010,70,Engineering,81,ID,Bijeli
"Steal Big, Steal Little",Yoko Forrest,1996,34,Accounting,93,ID,Pangligaran
Salvage,Herve Mioni,1990,40,Services,70,SE,V?llingby
Like Stars on Earth (Taare Zameen Par),Goldina Melvin,2012,49,Legal,81,CM,Bogo
War of the Dead - Stone's War,Nadya Huckerby,1986,3,Services,1,PH,Begang
Disclosure,Oona Ortler,2007,60,Training,57,CN,Shuidong
Division III: Football's Finest,Winny Brissard,2008,70,Business Development,35,RU,Novosin?kovo
Alatriste,Mac Van der Mark,2007,68,Engineering,14,BR,Salto
Learning to Ride,Hettie Pywell,1992,80,Sales,40,CN,Dongchen
"Cruel Romance, A (Zhestokij Romans)",Stafford Wedge,2008,78,Sales,73,ID,Banjar Dharmasemedi
Buffalo Bill,Rani Vieyra,1999,26,Product Management,32,PE,Bambas
"Marriage Circle, The",Hymie Divers,2009,56,Support,73,US,Indianapolis
Soo (Art of Revenge),Kerrie McGourty,2011,87,Engineering,84,RU,Rostokino
"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A",Umberto Brusin,2008,84,Marketing,29,SY,Sa?sa?
Red Salute,Retha Radclyffe,1961,30,Accounting,57,CN,Nanyuan
This Is 40,Selestina Hauxwell,1984,58,Business Development,42,EC,Montecristi
Man on the Flying Trapeze,Viviyan Gaskin,1984,47,Research and Development,33,FR,Tours
Watch the Birdie,Dorene Le Maitre,2010,56,Sales,100,CL,La Ligua
Fun is Beautiful,Haley Thursfield,2002,92,Human Resources,78,CZ,Javorn?k
Ray Harryhausen: Special Effects Titan,Ara Stonnell,1995,49,Services,20,PT,Cortinhas
Who Wants to Kill Jessie? (Kdo chce zab?t Jessii?),Arabella Breit,2000,72,Accounting,35,CI,Songon
Loaded,Joane Margram,2002,66,Accounting,34,DE,K?ln
Harem,Onida Nana,1963,74,Sales,15,CN,Songgui
Black or White,Aguste Guillon,2007,22,Accounting,70,PH,Maibu
Music in the Air,Filia Peeke-Vout,2007,3,Services,89,CN,Haoba
"Freshman, The",Tyrus Reddel,1989,67,Sales,26,RU,Mamonovo
Lady in Cement,Faun Bisseker,1994,80,Sales,67,ID,Tuamese
Sydney (Hard Eight),Hubey Atwell,2005,75,Services,100,BR,Sousa
"Neon Bible, The",Catlin Sarll,2000,64,Training,27,NG,Runka
Trekkies,Barbabas Beggan,1996,13,Business Development,40,PH,Baugo
